UUID;Version;Name (de);Name (en);Kategorie (original);Kategorie (en);Konformitaet;Hintergrunddatenbank(en);Laenderkennung;Typ;Referenzjahr;Gueltig bis;URL;Declaration owner;Veroeffentlicht am;Registrierungsnummer;Registrierungsstelle;UUID des Vorgaengers;Version des Vorgaengers;URL des Vorgaengers;Bezugsgroesse;Bezugseinheit;Referenzfluss-UUID;Referenzfluss-Name;Schuettdichte (kg/m3);Flaechengewicht (kg/m2);Rohdichte (kg/m3);Schichtdicke (m);Ergiebigkeit (m2);Laengengewicht (kg/m);Stueckgewicht (kg);Umrechungsfaktor auf 1kg;biogener Kohlenstoffgehalt in kg;biogener Kohlenstoffgehalt (Verpackung) in kg;Modul;Szenario;Szenariobeschreibung;GWP;ODP;POCP;AP;EP;ADPE;ADPF;PERE;PERM;PERT;PENRE;PENRM;PENRT;SM;RSF;NRSF;FW;HWD;NHWD;RWD;CRU;MFR;MER;EEE;EET;AP (A2);GWPtotal (A2);GWPbiogenic (A2);GWPfossil (A2);GWPluluc (A2);ETPfw (A2);PM (A2);EPmarine (A2);EPfreshwater (A2);EPterrestrial (A2);HTPc (A2);HTPnc (A2);IRP (A2);SOP (A2);ODP (A2);POCP (A2);ADPF (A2);ADPE (A2);WDP (A2);RMI_FOSSILE;RMI_METALS;RMI_MINERALS;RMI_FORESTRY;RMI_AGRICULTURE;RMI_FISHERIES;RMI_ABIOTIC_SUBTOTAL;RMI_BIOTIC_SUBTOTAL;RMI_TOTAL;TMR_FOSSILE;TMR_METALS;TMR_MINERALS;TMR_FORESTRY;TMR_AGRICULTURE;TMR_FISHERIES;TMR_ABIOTIC_SUBTOTAL;TMR_BIOTIC_SUBTOTAL;TMR_TOTAL;
f4a96970-a92e-4992-8a0c-ca4ed3a6bc65;00.01.000;;ARDEX X 90;;;'EN 15804+A2';;DE;specific dataset;2024;2029;;;2024-02-16;EPD-ADX-20230537-IBA1-DE;Institut Bauen und Umwelt e.V. (IBU);;;;1;kg;;1 kg;;;;;;;;;;;A5;;;;;;;;;;0.0714;-0.0701;0.00133;0.0494;-0.0439;0.00546;0;0;0;0.000368;0.0000000000000958;0.012;0.000000124;0;0;0;0.0147;0.0341;0.00000394;0.0103;0.00646;0.00382;0.000000604;;;0.00000115;0.00000000476;0.000016;;;;;0.00000000000000239;0.0000031;0.00546;0.0000000000226;0.00162;;;;;;;;;;;;;;;;;;;
f4a96970-a92e-4992-8a0c-ca4ed3a6bc65;00.01.000;;ARDEX X 90;;;'EN 15804+A2';;DE;specific dataset;2024;2029;;;2024-02-16;EPD-ADX-20230537-IBA1-DE;Institut Bauen und Umwelt e.V. (IBU);;;;1;kg;;1 kg;;;;;;;;;;;C1;;;;;;;;;;0.011;0;0.011;0.165;0;0.165;0;0;0;0.00000982;0.000000000000278;0.0000247;0.000000217;0;0;0;0;0;0.0000614;0.0123;0;0.0122;0.0000724;;;0.0000291;0.0000000285;0.000323;;;;;0.00000000000000299;0.0000814;0.165;0.000000000876;0.0000636;;;;;;;;;;;;;;;;;;;
f4a96970-a92e-4992-8a0c-ca4ed3a6bc65;00.01.000;;ARDEX X 90;;;'EN 15804+A2';;DE;specific dataset;2024;2029;;;2024-02-16;EPD-ADX-20230537-IBA1-DE;Institut Bauen und Umwelt e.V. (IBU);;;;1;kg;;1 kg;;;;;;;;;;;C2;;;;;;;;;;0.0642;0;0.0642;0.96;0;0.96;0;0;0;0.0000571;0.00000000000162;0.000144;0.00000126;0;0;0;0;0;0.000141;0.0702;0;0.0698;0.000421;;;0.0000608;0.000000166;0.000689;;;;;0.0000000000000174;0.000129;0.958;0.0000000051;0.00037;;;;;;;;;;;;;;;;;;;
f4a96970-a92e-4992-8a0c-ca4ed3a6bc65;00.01.000;;ARDEX X 90;;;'EN 15804+A2';;DE;specific dataset;2024;2029;;;2024-02-16;EPD-ADX-20230537-IBA1-DE;Institut Bauen und Umwelt e.V. (IBU);;;;1;kg;;1 kg;;;;;;;;;;;C4;;;;;;;;;;0.0383;0;0.0383;0.234;0;0.234;0;0;0;0.000059;0.00000000000504;1.17;0.00000263;0;0;0;0;0;0.000125;0.044;0.0266;0.0173;0.0000546;;;0.0000322;0.0000000355;0.000354;;;;;0.0000000000000452;0.0000972;0.234;0.000000000815;0.00192;;;;;;;;;;;;;;;;;;;
f4a96970-a92e-4992-8a0c-ca4ed3a6bc65;00.01.000;;ARDEX X 90;;;'EN 15804+A2';;DE;specific dataset;2024;2029;;;2024-02-16;EPD-ADX-20230537-IBA1-DE;Institut Bauen und Umwelt e.V. (IBU);;;;1;kg;;1 kg;;;;;;;;;;;D;;;;;;;;;;-0.0242;0;-0.0242;-0.062;0;-0.062;0;0;0;-0.00000837;-0.00000000000405;-0.0000337;-0.00000243;0;0;0;0;0;-0.00000401;-0.00398;-0.0000274;-0.00396;-0.000000355;;;-0.00000148;-0.0000000103;-0.0000157;;;;;-0.0000000000000543;-0.00000381;-0.062;-0.000000000344;-0.0000533;;;;;;;;;;;;;;;;;;;
5c20b049-8cec-4385-a1d6-ffadc0a030f6;00.01.000;;CEM III/A 42,5 L-LH (na);;;'EN 15804+A2';;DE;specific dataset;2024;2029;;;2024-11-26;EPD-CEM-20240348-CAA1-DE;Institut Bauen und Umwelt e.V. (IBU);;;;;;;Zement, lose Siloware (unverpackt) / 1000 kg;;;;;;;;;;;A1-A3;;;;;;;;;;57.4;0;57.4;2690;0;2690;652;454;326;0.723;0.0985;0.54;;0;0;0;0;0;1.75;408;0.0507;408;0.0507;54.2;0.0000152;0.00671;0.103;2.52;0.000000882;0.0000115;;539;0.0000139;0.806;2690;0.000121;27.3;;;;;;;;;;;;;;;;;;;
7f2345a9-f4cc-44fa-bb6f-a1d43a734f3f;00.01.000;;Crane Manual Revolving Door - AL 1000/2000/3000;;;'EN 15804+A2';;US;specific dataset;2023;2028;;;2023-11-27;EPD-DOR-20230450-CBA2-EN;Institut Bauen und Umwelt e.V. (IBU);;;;1;pcs.;;1 piece of the product: Manual Revolving Door AL 1000/2000/3000 including packaging;;;;;;;;;;;A1-A3;;;;;;;;;;13700;0;13700;45600;896;46500;2.16;0;0;32.7;0.0000308;585;2.93;0;0;0;0;0;14.1;3270;3.07;3260;1.28;22400;0.000129;2.31;0.00248;25.5;0.00000195;0.0000466;430;3840;0.0000000000232;6.32;46400;0.143;511;;;;;;;;;;;;;;;;;;;
7f2345a9-f4cc-44fa-bb6f-a1d43a734f3f;00.01.000;;Crane Manual Revolving Door - AL 1000/2000/3000;;;'EN 15804+A2';;US;specific dataset;2023;2028;;;2023-11-27;EPD-DOR-20230450-CBA2-EN;Institut Bauen und Umwelt e.V. (IBU);;;;1;pcs.;;1 piece of the product: Manual Revolving Door AL 1000/2000/3000 including packaging;;;;;;;;;;;A4;;;;;;;;;;0.221;0;0.221;70.1;0;70.1;0;0;0;0.000396;0.0000000068;0.007;0.0000753;0;0;0;0;0;0.005;5.17;0.228;4.94;0.000118;49.7;0.000000026;0.002;0.00000106;0.017;0.000000000934;0.00000004;0.011;0.18;0.000000000000000522;0.004;70.1;0.000000148;0.01;;;;;;;;;;;;;;;;;;;
7f2345a9-f4cc-44fa-bb6f-a1d43a734f3f;00.01.000;;Crane Manual Revolving Door - AL 1000/2000/3000;;;'EN 15804+A2';;US;specific dataset;2023;2028;;;2023-11-27;EPD-DOR-20230450-CBA2-EN;Institut Bauen und Umwelt e.V. (IBU);;;;1;pcs.;;1 piece of the product: Manual Revolving Door AL 1000/2000/3000 including packaging;;;;;;;;;;;A5;;;;;;;;;;2.76;0;2.76;398;-387;10.6;0;0;0;0.056;0.0000000404;2.38;0.000394;0;0;0;42.4;97.3;0.004;22.9;0.000533;22.9;0.001;3.98;0.000000052;0.000918;0.00000184;0.019;0.000000000345;0.0000000349;0.035;3.18;0.0000000000000115;0.003;10.6;0.000000158;2.34;;;;;;;;;;;;;;;;;;;
7f2345a9-f4cc-44fa-bb6f-a1d43a734f3f;00.01.000;;Crane Manual Revolving Door - AL 1000/2000/3000;;;'EN 15804+A2';;US;specific dataset;2023;2028;;;2023-11-27;EPD-DOR-20230450-CBA2-EN;Institut Bauen und Umwelt e.V. (IBU);;;;1;pcs.;;1 piece of the product: Manual Revolving Door AL 1000/2000/3000 including packaging;;;;;;;;;;;C1;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
7f2345a9-f4cc-44fa-bb6f-a1d43a734f3f;00.01.000;;Crane Manual Revolving Door - AL 1000/2000/3000;;;'EN 15804+A2';;US;specific dataset;2023;2028;;;2023-11-27;EPD-DOR-20230450-CBA2-EN;Institut Bauen und Umwelt e.V. (IBU);;;;1;pcs.;;1 piece of the product: Manual Revolving Door AL 1000/2000/3000 including packaging;;;;;;;;;;;C2;;;;;;;;;;0.109;0;0.109;34.5;0;34.5;0;0;0;0.000195;0.00000000335;0.004;0.0000371;0;0;0;0;0;0.002;2.55;0.112;2.43;0.0000579;24.5;0.0000000128;0.000775;0.000000521;0.009;0.00000000046;0.0000000197;0.005;0.089;0.000000000000000257;0.002;34.5;0.000000073;0.005;;;;;;;;;;;;;;;;;;;
7f2345a9-f4cc-44fa-bb6f-a1d43a734f3f;00.01.000;;Crane Manual Revolving Door - AL 1000/2000/3000;;;'EN 15804+A2';;US;specific dataset;2023;2028;;;2023-11-27;EPD-DOR-20230450-CBA2-EN;Institut Bauen und Umwelt e.V. (IBU);;;;1;pcs.;;1 piece of the product: Manual Revolving Door AL 1000/2000/3000 including packaging;;;;;;;;;;;C3;;;;;;;;;;4.89;0;4.89;528;-509;18.8;0;0;0;0.099;0.0000000717;4.21;0.000698;0;314;0;75.1;172;0.007;40.6;0.000945;40.6;0.002;7.06;0.0000000922;0.002;0.00000326;0.033;0.000000000611;0.0000000619;0.063;5.63;0.0000000000000205;0.005;18.8;0.000000281;4.15;;;;;;;;;;;;;;;;;;;
7f2345a9-f4cc-44fa-bb6f-a1d43a734f3f;00.01.000;;Crane Manual Revolving Door - AL 1000/2000/3000;;;'EN 15804+A2';;US;specific dataset;2023;2028;;;2023-11-27;EPD-DOR-20230450-CBA2-EN;Institut Bauen und Umwelt e.V. (IBU);;;;1;pcs.;;1 piece of the product: Manual Revolving Door AL 1000/2000/3000 including packaging;;;;;;;;;;;C4;;;;;;;;;;6.58;0;6.58;50.2;0;50.2;0;0;0;0.013;0.000000765;252;0.000572;0;0;0;0;0;0.027;3.85;0.013;3.83;0.011;28.7;0.00000034;0.007;0.00000657;0.078;0.00000000425;0.000000468;0.059;10.5;0.0000000000000142;0.021;50.2;0.000000344;0.401;;;;;;;;;;;;;;;;;;;
7f2345a9-f4cc-44fa-bb6f-a1d43a734f3f;00.01.000;;Crane Manual Revolving Door - AL 1000/2000/3000;;;'EN 15804+A2';;US;specific dataset;2023;2028;;;2023-11-27;EPD-DOR-20230450-CBA2-EN;Institut Bauen und Umwelt e.V. (IBU);;;;1;pcs.;;1 piece of the product: Manual Revolving Door AL 1000/2000/3000 including packaging;;;;;;;;;;;D;;;;;;;;;;-8990;0;-8990;-20600;0;-20600;0;0;0;-16.1;-0.000185;-325;-2.15;0;0;0;0;0;-5.6;-1490;-4.57;-1490;-0.271;-7570;-0.0000884;-0.746;-0.001;-8.05;0.000000206;0.0000487;-426;-595;-0.0000000102;-2.43;-20600;-0.055;-89.3;;;;;;;;;;;;;;;;;;;
9246cc14-5669-4f35-b2a8-dc66e4100594;00.01.000;;BEST 9K Cylindrical Series;;;'EN 15804+A2';;US;specific dataset;2022;2027;;;2022-05-04;EPD-DOR-20210340-CBA7-EN;Institut Bauen und Umwelt e.V. (IBU);;;;1;cylindrical;;1 cylindrical lock (1 piece);;;;;;;;;;;A1-A3;;;;;;;;;;30.3;2.16;32.5;82.1;0.058;82.2;0.48;0;0;0.05;0.00000025;0.495;0.0067;0;0;0;0;0;0.024;5.74;-0.272;6.01;0.0066;38.1;0.000000278;0.00433;0.0000223;0.0411;0.000000223;0.00000046;0.683;56.2;0.0000000000123;0.0119;82.1;0.00402;1.9;;;;;;;;;;;;;;;;;;;
